timestamp,yaw,pitch,roll,ax,ay,az,gx,gy,gz,mx,my,mz
1772911089.271082,-0.05553705665841541,0.7042243216949083,-9.018245722348421,-0.1197330728613932,-1.5397935028814094,9.76464053009682,-0.001090830782496456,0.001090830782496456,0.002181661564992912,12.25,57.6875,-14.875
1772911089.4370754,0.0,0.0,0.0,-0.12316747467834807,-1.5398625784743019,9.769778444355955,-0.001090830782496456,0.001090830782496456,0.002181661564992912,10.5,56.375,-16.5
1772911089.462821,0.0,0.0,0.0,-0.12316747467834807,-1.5398625784743019,9.769778444355955,-0.001090830782496456,0.001090830782496456,0.002181661564992912,10.5,56.375,-16.5
1772911089.5141666,-148.57102877042425,-17.648313514072083,-8.360724690183513,-0.12545303072274946,-1.539908547509747,9.75312699865723,0.00545415391248228,-0.002181661564992912,-0.014180800172453928,10.5,56.375,-16.5
1772911089.5536373,13.086834894164813,0.6975635351095644,-9.018477037189044,-0.12028381932432593,-1.5399391393893278,9.732010312431607,-0.004363323129985824,-0.009817477042468103,0.009817477042468103,12.25,58.5,-14.0625
1772911089.5773983,13.086834894164813,0.6975635351095644,-9.018477037189044,-0.12028381932432593,-1.5399391393893278,9.732010312431607,-0.004363323129985824,-0.009817477042468103,0.009817477042468103,12.25,58.5,-14.0625
1772911089.6057312,13.086834894164813,0.6975635351095644,-9.018477037189044,-0.13022421371182746,-1.5700655033093298,9.717957393637295,-0.003272492347489368,0.00545415391248228,0.001090830782496456,12.25,58.5,-14.0625
1772911089.6309035,13.086834894164813,0.6975635351095644,-9.018477037189044,-0.12345898830595115,-1.560008256598681,9.718640668283028,0.004363323129985824,0.004363323129985824,-0.003272492347489368,13.0,58.875,-13.6875
1772911089.6607456,13.086834894164813,0.6975635351095644,-9.018477037189044,-0.1323372532001375,-1.5700408297961481,9.739166050171,-0.004363323129985824,-0.004363323129985824,0.009817477042468103,13.0,58.875,-13.6875
1772911089.6870196,13.086834894164813,0.6975635351095644,-9.018477037189044,-0.1323372532001375,-1.5700408297961481,9.739166050171,-0.004363323129985824,-0.004363323129985824,0.009817477042468103,13.0,58.875,-13.6875
1772911089.7214167,13.064963902538183,0.702837261842896,-9.017623180631324,-0.12821030418854315,-1.5767173951878766,9.752825462533908,0.001090830782496456,0.004363323129985824,-0.00545415391248228,12.25,57.75,-14.0625
1772911089.7545059,13.064963902538183,0.702837261842896,-9.017623180631324,-0.12880897742968764,-1.5811605748739497,9.761915648875789,-0.003272492347489368,0.001090830782496456,0.004363323129985824,12.25,57.75,-14.0625
1772911089.8124077,13.064963902538183,0.702837261842896,-9.017623180631324,-0.12586227607673162,-1.5908076847361008,9.761274842927637,0.001090830782496456,0.002181661564992912,-0.002181661564992912,11.5625,58.1875,-13.6875
1772911089.8435893,13.064963902538183,0.702837261842896,-9.017623180631324,-0.12586227607673162,-1.5908076847361008,9.761274842927637,0.001090830782496456,0.002181661564992912,-0.002181661564992912,11.5625,58.1875,-13.6875
1772911089.8771513,13.064963902538183,0.702837261842896,-9.017623180631324,-0.12724639095046966,-1.5671217232182098,9.774228840556692,0.002181661564992912,0.003272492347489368,0.0,11.5625,58.1875,-13.6875
1772911089.9137871,13.064963902538183,0.702837261842896,-9.017623180631324,-0.12724639095046966,-1.5671217232182098,9.774228840556692,0.002181661564992912,0.003272492347489368,0.0,11.5625,58.1875,-13.6875
