timestamp,yaw,pitch,roll,ax,ay,az,gx,gy,gz,mx,my,mz
1772748281.2774198,-0.08159734171956474,1.375449606517456,-6.789700095777979,-0.23966857427188176,-1.1702390981445785,9.750659912412864,-0.001090830782496456,0.001090830782496456,0.002181661564992912,-4.6875,8.25,-89.0
1772748281.5657685,-0.08168146257649204,1.375449606517456,-6.796732427901584,-0.23655720764539892,-1.1771231828720592,9.765781390311194,-0.001090830782496456,0.0,0.001090830782496456,-4.6875,8.375,-89.375
1772748281.7969918,-0.08168146257649204,1.375449606517456,-6.796732427901584,-0.23756336881805704,-1.1619240354874698,9.780776043004341,0.0,0.0,0.001090830782496456,-3.5625,9.1875,-90.5625
1772748281.8461075,-0.08168146257649204,1.375449606517456,-6.796732427901584,-0.2389208760347949,-1.1608521079512648,9.785914936523099,-0.001090830782496456,0.0,0.0,-5.0625,8.75,-89.75
1772748281.9371068,-0.08168146257649204,1.375449606517456,-6.796732427901584,-0.23928185505576055,-1.1605670683228972,9.783936324181951,0.001090830782496456,0.001090830782496456,-0.001090830782496456,-3.1875,8.0,-89.0
1772748281.9814093,-0.08168146257649204,1.375449606517456,-6.796732427901584,-0.23617697085449393,-1.1670676010489587,9.782619579771467,0.0,0.001090830782496456,-0.001090830782496456,-3.1875,8.0,-89.0
1772748282.0178936,-0.08168146257649204,1.375449606517456,-6.796732427901584,-0.2341107051023801,-1.161358297840486,9.77505307766065,0.0,0.0,-0.001090830782496456,-5.0625,9.1875,-88.25
1772748282.039127,-0.08168146257649204,1.375449606517456,-6.796732427901584,-0.2341107051023801,-1.161358297840486,9.77505307766065,0.0,0.0,-0.001090830782496456,-5.0625,9.1875,-88.25
1772748282.0672593,-0.08168146257649204,1.375449606517456,-6.796732427901584,-0.2327356283260492,-1.157558820332343,9.770017655029267,-0.001090830782496456,-0.001090830782496456,0.0,-5.0625,9.1875,-88.25
1772748282.109128,-0.08168146257649204,1.375449606517456,-6.796732427901584,-0.2367827886207766,-1.1533476154412532,9.770007818977827,0.0,0.0,0.0,-4.375,8.75,-90.25
1772748282.1640608,-1.4914391217670913e-07,1.3754521177395063,-6.7967448091169675,-0.2367827886207766,-1.1533476154412532,9.770007818977827,0.0,0.0,0.0,-4.375,8.75,-90.25
1772748282.1975465,-1.4914391217670913e-07,1.3754521177395063,-6.7967448091169675,-0.23621134378466882,-1.1559108322527838,9.7700052034424,-0.0010908296740133922,-1.5550992466482593e-06,-0.001090830782496456,-3.1989016407338235,7.995447738739242,-89.75
