timestamp,count,velocity
1772748281.2774198,0,0.0
1772748281.5657685,0,0.0
1772748281.7969918,0,0.0
1772748281.8461075,0,0.0
1772748281.9371068,0,0.0
1772748281.9814093,0,0.0
1772748282.0178936,0,0.0
1772748282.039127,0,0.0
1772748282.0672593,0,0.0
1772748282.109128,0,0.0
1772748282.1640608,0,0.0
1772748282.1975465,0,0.0
1772748282.2132905,0,0.0
1772748282.2329075,0,0.0
1772748282.253736,0,0.0
1772748282.2874014,0,0.0
1772748282.329298,0,0.0
1772748282.3943775,0,0.0
1772748282.498018,0,0.0
1772748282.5215569,0,0.0
1772748282.5523376,0,0.0
1772748282.605935,0,0.0
1772748282.66885,0,0.0
1772748282.6948617,0,0.0
1772748282.710593,0,0.0
1772748282.7272103,0,0.0
1772748282.7465744,0,0.0
1772748282.7928796,0,0.0
1772748282.8518295,0,0.0
1772748282.8717399,0,0.0
1772748282.9022386,0,0.0
1772748282.9298365,0,0.0
1772748282.9684982,0,0.0
1772748283.012294,0,0.0
1772748283.0577781,0,0.0
1772748283.0995111,0,0.0
1772748283.1358643,0,0.0
1772748283.1758926,0,0.0
1772748283.1938255,0,0.0
1772748283.209824,0,0.0
1772748283.2248976,0,0.0
1772748283.2466295,0,0.0
1772748283.2906926,0,0.0
1772748283.3231485,0,0.0
1772748283.371442,0,0.0
1772748283.4166584,0,0.0
1772748283.4419122,0,0.0
1772748283.4666958,0,0.0
1772748283.4985096,0,0.0
1772748283.5387397,0,0.0
1772748283.5809412,0,0.0
1772748283.6144474,0,0.0
1772748283.655428,0,0.0
1772748283.695705,0,0.0
1772748283.7107298,0,0.0
1772748283.723488,0,0.0
1772748283.737394,0,0.0
1772748283.7520852,0,0.0
1772748283.779079,0,0.0
1772748283.8058867,0,0.0
1772748283.8310528,0,0.0
1772748283.859725,0,0.0
1772748283.9127448,0,0.0
1772748283.95718,0,0.0
1772748283.9845304,0,0.0
1772748284.0196517,0,0.0
1772748284.0403829,0,0.0
1772748284.0906246,0,0.0
1772748284.1086893,0,0.0
1772748284.1279418,0,0.0
1772748284.1473947,0,0.0
1772748284.164837,0,0.0
1772748284.1824098,0,0.0
1772748284.207049,0,0.0
1772748284.270447,0,0.0
1772748284.296338,0,0.0
1772748284.3124387,0,0.0
1772748284.3342056,0,0.0
1772748284.3613849,0,0.0
1772748284.3913732,0,0.0
1772748284.4127,0,0.0
1772748284.4317589,0,0.0
1772748284.458144,0,0.0
1772748284.4872649,0,0.0
1772748284.51304,0,0.0
1772748284.528327,0,0.0
1772748284.5586016,0,0.0
1772748284.5965471,0,0.0
1772748284.6183274,0,0.0
1772748284.6458344,0,0.0
1772748284.6795595,0,0.0
1772748284.6925128,0,0.0
1772748284.7052073,0,0.0
1772748284.7199297,0,0.0
1772748284.734131,0,0.0
1772748284.7519624,0,0.0
1772748284.7788482,0,0.0
1772748284.820358,0,0.0
1772748284.8743374,0,0.0
1772748284.8984103,0,0.0
1772748284.9326124,0,0.0
1772748284.971165,0,0.0
1772748285.0062525,0,0.0
1772748285.041631,0,0.0
1772748285.0916913,0,0.0
1772748285.121444,0,0.0
1772748285.1455436,0,0.0
1772748285.2156997,0,0.0
1772748285.2355697,0,0.0
1772748285.2813897,0,0.0
1772748285.3244743,0,0.0
1772748285.3584514,0,0.0
1772748285.396968,0,0.0
1772748285.420786,0,0.0
1772748285.465304,0,0.0
1772748285.4889116,0,0.0
1772748285.5022793,0,0.0
1772748285.5191982,0,0.0
1772748285.5519922,0,0.0
1772748285.6146626,0,0.0
1772748285.646964,0,0.0
1772748285.6796231,0,0.0
1772748285.7165592,0,0.0
1772748285.740003,0,0.0
1772748285.7616174,0,0.0
1772748285.792523,0,0.0
1772748285.8235617,0,0.0
1772748285.8430893,0,0.0
1772748285.8582392,0,0.0
1772748285.8968322,0,0.0
1772748285.930542,0,0.0
1772748285.9522727,0,0.0
1772748285.9757843,0,0.0
1772748285.9949589,0,0.0
1772748286.0171733,0,0.0
1772748286.0807056,0,0.0
1772748286.1197934,0,0.0
1772748286.1386833,0,0.0
1772748286.1704268,0,0.0
1772748286.203544,0,0.0
1772748286.2343826,0,0.0
1772748286.3035398,0,0.0
1772748286.347038,0,0.0
1772748286.383854,0,0.0
1772748286.437035,0,0.0
1772748286.5072377,0,0.0
1772748286.548224,0,0.0
1772748286.5879583,0,0.0
1772748286.6164193,0,0.0
1772748286.655144,0,0.0
1772748286.6747203,0,0.0
1772748286.731188,0,0.0
1772748286.7932389,0,0.0
1772748286.8548522,0,0.0
1772748286.905393,0,0.0
1772748286.927342,0,0.0
1772748286.9856355,0,0.0
1772748287.0111783,0,0.0
1772748287.0302482,0,0.0
1772748287.0823565,0,0.0
1772748287.1382484,0,0.0
1772748287.1861744,0,0.0
1772748287.2101998,0,0.0
1772748287.251432,0,0.0
1772748287.3027253,0,0.0
1772748287.3227699,0,0.0
1772748287.338023,0,0.0
1772748287.3610804,0,0.0
1772748287.4111564,0,0.0
1772748287.4539778,0,0.0
1772748287.5204904,0,0.0
1772748287.564193,0,0.0
1772748287.5934935,0,0.0
1772748287.6180773,0,0.0
1772748287.6760445,0,0.0
1772748287.7449162,0,0.0
1772748287.7854888,0,0.0
1772748287.8328354,0,0.0
1772748287.8902092,0,0.0
1772748287.9226809,0,0.0
1772748287.9548554,0,0.0
1772748287.990428,0,0.0
1772748288.0159762,0,0.0
1772748288.0454283,0,0.0
1772748288.0931733,0,0.0
1772748288.1182055,0,0.0
1772748288.1355999,0,0.0
1772748288.1697752,0,0.0
1772748288.2284617,0,0.0
1772748288.2836595,0,0.0
1772748288.3142583,0,0.0
1772748288.3324986,0,0.0
1772748288.3806973,0,0.0
1772748288.436639,0,0.0
1772748288.4833963,0,0.0
1772748288.5098946,0,0.0
1772748288.5356507,0,0.0
1772748288.5673344,0,0.0
1772748288.607861,0,0.0
1772748288.6498353,0,0.0
1772748288.6885867,0,0.0
1772748288.7050612,0,0.0
1772748288.75507,0,0.0
1772748288.8141768,0,0.0
1772748288.843462,0,0.0
1772748288.888544,0,0.0
1772748288.9177053,0,0.0
1772748288.9376,0,0.0
1772748288.967759,0,0.0
1772748288.9907558,0,0.0
1772748289.0167365,0,0.0
1772748289.0515668,0,0.0
1772748289.0797825,0,0.0
1772748289.1164172,0,0.0
