timestamp,tag_id,x,y,z,quality
1774889698.6315966,1,1.862,4.92,0.557,47
1774889699.1416628,1,1.834,4.839,0.649,50
1774889699.1416628,0,2.028,4.71,0.62,49
1774889699.1935585,1,1.816,4.82,0.675,50
1774889699.1935585,0,2.02,4.709,0.61,48
1774889699.4165115,1,1.816,4.802,0.657,50
1774889699.4165115,0,2.02,4.707,0.607,47
1774889699.440341,1,1.816,4.802,0.657,50
1774889699.440341,0,2.023,4.73,0.598,48
1774889699.464558,1,1.819,4.812,0.682,52
1774889699.464558,0,2.023,4.73,0.598,48
1774889699.4854352,1,1.819,4.812,0.682,52
1774889699.4854352,0,2.023,4.73,0.598,48
1774889699.5408158,1,1.819,4.812,0.682,52
1774889699.5408158,0,2.025,4.723,0.602,48
1774889699.7814376,1,1.842,4.789,0.646,50
1774889699.7814376,0,2.035,4.742,0.568,48
1774889699.816133,1,1.842,4.789,0.646,50
1774889699.816133,0,2.035,4.742,0.568,48
1774889699.842399,1,1.842,4.789,0.646,50
1774889699.842399,0,2.039,4.74,0.589,50
1774889700.1389449,1,1.827,4.805,0.679,50
1774889700.1389449,0,2.03,4.728,0.586,48
1774889700.185254,1,1.823,4.802,0.696,50
1774889700.185254,0,2.031,4.722,0.588,47
1774889700.212867,1,1.823,4.802,0.696,50
1774889700.212867,0,2.031,4.722,0.588,47
1774889700.47436,1,1.821,4.789,0.686,50
1774889700.47436,0,2.042,4.736,0.584,48
1774889700.5013893,1,1.87,4.777,0.541,50
1774889700.5013893,0,2.042,4.736,0.584,48
1774889700.526811,1,1.87,4.777,0.541,50
1774889700.526811,0,2.042,4.736,0.584,48
1774889700.5607388,1,1.87,4.777,0.541,50
1774889700.5607388,0,2.042,4.736,0.584,48
1774889700.8136053,1,1.851,4.799,0.595,50
1774889700.8136053,0,2.034,4.727,0.596,47
1774889700.8311107,1,1.851,4.799,0.595,50
1774889700.8311107,0,2.034,4.727,0.596,47
1774889700.8706138,1,1.851,4.799,0.595,50
1774889700.8706138,0,2.035,4.733,0.598,48
1774889701.190486,1,1.861,4.781,0.556,50
1774889701.190486,0,2.032,4.74,0.599,48
1774889701.2102127,1,1.861,4.781,0.556,50
