timestamp,motor_speed_mps,steering_angle_rad,steering_angle_deg
1772907983.4360237,0.0,0.0,0.0
1772907983.5030313,0.0,0.0,0.0
1772907983.575262,0.0,0.0,0.0
1772907983.6480803,0.0,0.0,0.0
1772907983.7050915,0.0,0.0,0.0
1772907983.7381063,0.0,0.0,0.0
1772907983.804068,0.0,0.0,0.0
1772907983.898622,0.0,0.0,0.0
1772907983.9224756,0.0,0.0,0.0
1772907984.0206716,0.0,0.0,0.0
1772907984.049402,0.0,0.0,0.0
1772907984.0775151,0.0,0.0,0.0
1772907984.1354992,0.0,0.0,0.0
1772907984.1664565,0.0,0.0,0.0
1772907984.2172866,0.0,0.0,0.0
1772907984.2449894,0.0,0.0,0.0
1772907984.2776158,0.0,0.0,0.0
1772907984.3345506,0.0,0.0,0.0
1772907984.3650434,0.0,0.0,0.0
1772907984.3981297,0.0,0.0,0.0
1772907984.4197872,0.0,0.0,0.0
1772907984.4399562,0.0,0.0,0.0
1772907984.467851,0.0,0.0,0.0
1772907984.5361636,0.0,0.0,0.0
1772907984.5752256,0.13000000995321453,0.523598785382954,30.000000560619444
1772907984.6295896,0.13000000995321453,0.523598785382954,30.000000560619444
1772907984.647566,0.13000000995321453,0.523598785382954,30.000000560619444
1772907984.681799,0.13000000995321453,0.523598785382954,30.000000560619444
1772907984.7255278,0.13000000995307948,0.5235987854456156,30.000000564209685
1772907984.7888744,0.13000000995307948,0.5235987854456156,30.000000564209685
1772907984.8556685,0.13000000995307948,0.5235987854456156,30.000000564209685
1772907984.9217658,0.13000000994786162,0.5235987854252909,30.000000563045173
1772907985.0370262,0.13000000994786162,0.5235987854252909,30.000000563045173
1772907985.085039,0.13000000994786162,0.5235987854252909,30.000000563045173
1772907985.1142647,0.13000000994786162,0.5235987854252909,30.000000563045173
1772907985.1526968,0.1300000099461202,0.5235987854224666,30.00000056288335
1772907985.209447,0.1300000099461202,0.5235987854224666,30.00000056288335
1772907985.2591283,0.1300000099461202,0.5235987854224666,30.00000056288335
1772907985.287704,0.1300000099461202,0.5235987854224666,30.00000056288335
1772907985.3198304,0.1300000099461202,0.5235987854224666,30.00000056288335
1772907985.3684926,0.1300000099419021,0.5235987854096629,30.000000562149747
1772907985.431001,0.1300000099419021,0.5235987854096629,30.000000562149747
1772907985.458183,0.1300000099419021,0.5235987854096629,30.000000562149747
1772907985.4935684,0.1300000099419021,0.5235987854096629,30.000000562149747
1772907985.5142193,0.13000000993611727,0.5235987853939806,30.000000561251223
1772907985.535011,0.13000000993611727,0.5235987853939806,30.000000561251223
1772907985.549302,0.13000000993611727,0.5235987853939806,30.000000561251223
1772907985.571944,0.13000000993611727,0.5235987853939806,30.000000561251223
1772907985.6233308,0.13000000992945077,0.5235987853760988,30.00000056022667
1772907985.69997,0.13000000992945077,0.5235987853760988,30.00000056022667
1772907985.7385354,0.13000000992945077,0.5235987853760988,30.00000056022667
1772907985.7862535,0.13000000992945077,0.5235987853760988,30.00000056022667
1772907985.8211303,0.13000000992090666,0.5235987853539265,30.000000558956287
1772907985.8763423,0.13000000992090666,0.5235987853539265,30.000000558956287
1772907985.948183,0.13000000992090666,0.5235987853539265,30.000000558956287
1772907985.9730036,0.13000000992090666,0.5235987853539265,30.000000558956287
1772907985.9945843,0.130000009968684,0.5235987855017161,30.000000567424014
