timestamp,tag_id,x,y,z,quality
1772907945.878697,0,1.65,-4.344,0.231,51
1772907945.878697,1,1.559,-4.286,0.734,62
1772907945.914589,0,1.65,-4.344,0.231,51
1772907945.914589,1,1.556,-4.279,0.729,62
1772907945.9635937,0,1.643,-4.336,0.23,51
1772907945.9635937,1,1.556,-4.279,0.729,62
1772907946.0056353,0,1.644,-4.328,0.238,53
1772907946.0056353,1,1.559,-4.276,0.722,62
1772907946.061653,0,1.644,-4.328,0.238,53
1772907946.061653,1,1.559,-4.276,0.722,62
1772907946.1277342,0,1.642,-4.332,0.242,52
1772907946.1277342,1,1.559,-4.284,0.751,64
1772907946.155788,0,1.642,-4.332,0.242,52
1772907946.155788,1,1.572,-4.273,0.705,60
1772907946.2055624,0,1.657,-4.335,0.237,52
1772907946.2055624,1,1.572,-4.273,0.705,60
1772907946.2582288,0,1.659,-4.335,0.233,52
1772907946.2582288,1,1.572,-4.273,0.705,60
1772907946.2869456,0,1.659,-4.335,0.233,52
1772907946.2869456,1,1.563,-4.277,0.722,62
1772907946.3355193,0,1.659,-4.335,0.233,52
1772907946.3355193,1,1.563,-4.277,0.722,62
1772907946.3610551,0,1.659,-4.335,0.233,52
1772907946.3610551,1,1.56,-4.282,0.727,62
1772907946.3758378,0,1.659,-4.335,0.233,52
1772907946.3758378,1,1.56,-4.282,0.727,62
1772907946.3989108,0,1.659,-4.335,0.233,52
1772907946.3989108,1,1.56,-4.282,0.727,62
1772907946.4361303,0,1.663,-4.331,0.224,51
1772907946.4361303,1,1.56,-4.282,0.727,62
1772907946.4904256,0,1.663,-4.331,0.224,51
1772907946.4904256,1,1.57,-4.273,0.715,62
1772907946.5617697,0,1.663,-4.331,0.224,51
1772907946.5617697,1,1.57,-4.273,0.715,62
1772907946.6144533,0,1.669,-4.338,0.235,53
1772907946.6144533,1,1.578,-4.267,0.699,61
1772907946.6539319,0,1.669,-4.338,0.235,53
1772907946.6539319,1,1.578,-4.267,0.699,61
1772907946.7009,0,1.675,-4.33,0.21,50
1772907946.7009,1,1.591,-4.263,0.697,63
1772907946.7182372,0,1.675,-4.33,0.21,50
1772907946.7182372,1,1.591,-4.263,0.697,63
1772907946.7340107,0,1.676,-4.333,0.207,51
1772907946.7340107,1,1.591,-4.263,0.697,63
1772907946.7598255,0,1.676,-4.333,0.207,51
1772907946.7598255,1,1.591,-4.263,0.697,63
1772907946.7861342,0,1.676,-4.333,0.207,51
1772907946.7861342,1,1.588,-4.267,0.692,61
1772907946.8254118,0,1.676,-4.333,0.207,51
1772907946.8254118,1,1.588,-4.267,0.692,61
1772907946.8460872,0,1.68,-4.332,0.211,52
1772907946.8460872,1,1.588,-4.267,0.692,61
1772907946.8753753,0,1.68,-4.332,0.211,52
1772907946.8753753,1,1.596,-4.264,0.682,62
1772907946.8883796,0,1.68,-4.332,0.211,52
1772907946.8883796,1,1.596,-4.264,0.682,62
1772907946.9018538,0,1.68,-4.332,0.211,52
1772907946.9018538,1,1.596,-4.264,0.682,62
1772907946.916998,0,1.68,-4.332,0.211,52
1772907946.916998,1,1.596,-4.264,0.682,62
1772907946.934197,0,1.666,-4.336,0.239,53
1772907946.934197,1,1.596,-4.264,0.682,62
1772907946.9556544,0,1.666,-4.336,0.239,53
1772907946.9556544,1,1.596,-4.264,0.682,62
1772907946.9745345,0,1.666,-4.336,0.239,53
1772907946.9745345,1,1.621,-4.257,0.617,58
1772907947.0019565,0,1.666,-4.336,0.239,53
1772907947.0019565,1,1.621,-4.257,0.617,58
1772907947.0280228,0,1.666,-4.336,0.239,53
1772907947.0280228,1,1.621,-4.257,0.617,58
1772907947.0510411,0,1.661,-4.339,0.249,53
1772907947.0510411,1,1.621,-4.257,0.617,58
1772907947.0785844,0,1.661,-4.339,0.249,53
1772907947.0785844,1,1.615,-4.252,0.622,61
1772907947.1048326,0,1.661,-4.339,0.249,53
1772907947.1048326,1,1.615,-4.252,0.622,61
1772907947.1234329,0,1.661,-4.339,0.249,53
1772907947.1234329,1,1.615,-4.252,0.622,61
1772907947.1538823,0,1.642,-4.356,0.278,53
1772907947.1538823,1,1.615,-4.252,0.622,61
1772907947.1923409,0,1.642,-4.356,0.278,53
1772907947.1923409,1,1.605,-4.247,0.62,61
1772907947.2238245,0,1.642,-4.356,0.278,53
1772907947.2238245,1,1.605,-4.247,0.62,61
1772907947.239039,0,1.642,-4.356,0.278,53
1772907947.239039,1,1.605,-4.247,0.62,61
1772907947.2675996,0,1.662,-4.353,0.268,53
1772907947.2675996,1,1.606,-4.258,0.644,62
1772907947.3117328,0,1.662,-4.353,0.268,53
1772907947.3117328,1,1.606,-4.258,0.644,62
1772907947.3486042,0,1.669,-4.329,0.243,51
1772907947.3486042,1,1.606,-4.258,0.644,62
1772907947.386146,0,1.669,-4.329,0.243,51
1772907947.386146,1,1.606,-4.258,0.644,62
1772907947.419468,0,1.669,-4.329,0.243,51
1772907947.419468,1,1.605,-4.257,0.649,62
1772907947.4691432,0,1.68,-4.307,0.212,51
1772907947.4691432,1,1.605,-4.257,0.649,62
1772907947.5048974,0,1.68,-4.307,0.212,51
1772907947.5048974,1,1.605,-4.261,0.645,61
1772907947.5308247,0,1.68,-4.307,0.212,51
1772907947.5308247,1,1.605,-4.261,0.645,61
1772907947.545027,0,1.664,-4.317,0.236,53
1772907947.545027,1,1.605,-4.261,0.645,61
