timestamp,velocity_mps,steering_angle_rad,steering_angle_deg
1772907942.275382,0.0,0.0,0.0
1772907942.2909384,0.0,0.0,0.0
1772907942.3028736,0.0,0.0,0.0
1772907942.3145936,0.0,0.0,0.0
1772907942.325949,0.0,0.0,0.0
1772907942.33747,0.0,0.0,0.0
1772907942.3556223,0.0,0.0,0.0
1772907942.3909643,0.0,0.0,0.0
1772907942.4264655,0.0,0.0,0.0
1772907942.4494162,0.0,0.0,0.0
1772907942.4744663,0.0,0.0,0.0
1772907942.4923546,0.0,0.0,0.0
1772907942.5162992,0.0,0.0,0.0
1772907942.5305407,0.0,0.0,0.0
1772907942.5624063,0.0,0.0,0.0
1772907942.6207867,0.0,0.0,0.0
1772907942.6484654,0.0,0.0,0.0
1772907942.6901116,0.0,0.0,0.0
1772907942.7400284,0.0,0.0,0.0
1772907942.7872417,0.0,0.0,0.0
1772907942.8219469,0.0,0.0,0.0
1772907942.8406277,0.0,0.0,0.0
1772907942.8633444,0.0,0.0,0.0
1772907942.9161277,0.0,0.0,0.0
1772907942.9787977,0.0,0.0,0.0
1772907943.009951,0.0,0.0,0.0
1772907943.035812,0.0,0.0,0.0
1772907943.0710375,0.0,0.0,0.0
1772907943.0959165,0.0,0.0,0.0
1772907943.1118658,0.0,0.0,0.0
1772907943.1307127,0.0,0.0,0.0
1772907943.1593702,0.0,0.0,0.0
1772907943.1863654,0.0,0.0,0.0
1772907943.2255747,0.0,0.0,0.0
1772907943.2679772,0.0,0.0,0.0
1772907943.3212876,0.0,0.0,0.0
1772907943.3453014,0.0,0.0,0.0
1772907943.3827188,0.0,0.0,0.0
1772907943.4014926,0.0,0.0,0.0
1772907943.415858,0.0,0.0,0.0
1772907943.4350116,0.0,0.0,0.0
1772907943.446937,0.0,0.0,0.0
1772907943.4595046,0.0,0.0,0.0
1772907943.479903,0.0,0.0,0.0
1772907943.4921298,0.0,0.0,0.0
1772907943.5041392,0.0,0.0,0.0
1772907943.5159206,0.0,0.0,0.0
1772907943.5325215,0.0,0.0,0.0
1772907943.5486016,0.0,0.0,0.0
1772907943.5663476,0.0,0.0,0.0
1772907943.5786562,0.0,0.0,0.0
1772907943.6142097,0.0,0.0,0.0
1772907943.7268836,0.0,0.0,0.0
1772907943.7420795,0.0,0.0,0.0
1772907943.7942836,0.0,0.0,0.0
1772907943.807912,0.0,0.0,0.0
1772907943.825063,0.0,0.0,0.0
1772907943.8458054,0.0,0.0,0.0
1772907943.9024687,0.0,0.0,0.0
1772907943.9412146,0.0,0.0,0.0
1772907943.9799225,0.0,0.0,0.0
1772907943.9943888,0.0,0.0,0.0
1772907944.0124424,0.0,0.0,0.0
1772907944.0472655,0.0,0.0,0.0
1772907944.0992105,0.0,0.0,0.0
1772907944.1262012,0.0,0.0,0.0
1772907944.161384,0.0,0.0,0.0
1772907944.192053,0.0,0.0,0.0
1772907944.2224333,0.0,0.0,0.0
1772907944.2422392,0.0,0.0,0.0
1772907944.2841537,0.0,0.0,0.0
1772907944.3244298,0.0,0.0,0.0
1772907944.3697245,0.0,0.0,0.0
1772907944.3983154,0.0,0.0,0.0
1772907944.4208558,0.0,0.0,0.0
1772907944.4497664,0.0,0.0,0.0
1772907944.4878628,0.0,0.0,0.0
1772907944.5039382,0.0,0.0,0.0
1772907944.5190198,0.0,0.0,0.0
1772907944.5589035,0.0,0.0,0.0
1772907944.5902715,0.0,0.0,0.0
1772907944.6182373,0.0,0.0,0.0
1772907945.0395648,0.0,0.0,0.0
1772907945.3072875,0.0,0.0,0.0
1772907945.3381703,0.0,0.0,0.0
1772907945.3897858,0.0,0.0,0.0
1772907945.4411063,0.0,0.0,0.0
1772907945.4868193,0.0,0.0,0.0
1772907945.5137289,0.0,0.0,0.0
1772907945.577315,0.0,0.0,0.0
1772907945.6338556,0.0,0.0,0.0
1772907945.6550994,0.0,0.0,0.0
