x,y,yaw
1.1707454517843303,-4.695760550296169,2.276849495815167
1.142142488617117,-4.662124750028061,2.272812031010118
1.1140464850479737,-4.628536982564106,2.2605637079817695
1.0869562435052624,-4.5950445078426565,2.2396953634758257
1.0613543833298449,-4.561693052506168,2.2095232914735994
1.0376995752492253,-4.528526074142402,2.169097624670386
1.0164191611938453,-4.4955840620355705,2.117240203415936
0.9979022782054543,-4.4629038856786005,2.0526466792701688
0.9824935970764371,-4.430518201529189,1.9741046882131916
0.9704877764677428,-4.3984549275551705,1.8808848312828874
0.9621247217407262,-4.36673679402397,1.7733182243083352
0.9575857247900798,-4.3353809777640855,1.653436541038159
0.9569905469893816,-4.304398825783491,1.5253352283968513
0.9603954921857647,-4.273795672692034,1.3948290324129087
0.9677925007499388,-4.243570754865557,1.2682903090800581
0.9791092792586438,-4.2137172227329,1.1511849257588231
0.9942104637228909,-4.18422225098807,1.0470908989718084
1.0128997976452192,-4.15506724495421,0.9575621762521933
1.0349232898602043,-4.126228139778908,0.8826031077592191
1.0599733013473895,-4.097675787646685,0.8213160386108965
1.0876934952582864,-4.069376426778262,0.7724365338932985
1.1176845705096567,-4.041292224670212,0.7346768956021436
1.1495106866874163,-4.013381886834117,0.7069097347639368
1.1827064768820486,-3.9856013212403396,0.6882497877811583
1.2167845356163849,-3.9579043477752816,0.6780818212717681
1.2512432613821842,-3.9302434412967036,0.6760652097373979
1.2855749275961725,-3.902570496331052,0.6821320149325651
1.319273852110827,-3.8748376011085393,0.6964862549842319
1.3518445338294263,-3.8469978084814476,0.7196057574210448
1.3828096255041824,-3.8190058913213187,0.7522422703441972
1.4117176144321477,-3.7908190702403757,0.7954080651509895
1.4381500874636217,-3.762397701927887,0.8503259492031392
1.46172846342636,-3.733705917025877,0.9183035908532337
1.4821200846383515,-3.7047121972805233,1.0004769796631914
1.4990435694944504,-3.675389882682658,1.097370627558141
1.5122733400017327,-3.645717600437296,1.208284934832441
1.5216432514138472,-3.6156796088599075,1.3306853876969913
1.5270492655621764,-3.5852660506660134,1.459979822692601
1.5284511248689165,-3.5544731115785826,1.5900799998604844
1.5258730001065743,-3.523303081701178,1.7147094762749782
1.5194031014811884,-3.491764318669335,1.8288144753312874
1.5091922592970943,-3.459871113173071,1.9293414377185996
1.495451497040866,-3.427643459014341,2.0151821001672356
1.4784486359344235,-3.3951067313992733,2.0866170009718847
1.4585039855913147,-3.3622912786416097,2.14467829031632
1.4359851901151304,-3.32923193384697,2.1906612154212333
1.411301312568254,-3.2959674544351505,2.2258256555020983
1.3848962529940603,-3.262539898518727,2.2512433513110026
1.357241605899047,-3.2289939481722776,2.267733364933643
1.3288290721206921,-3.1953761904810833,2.2758422500072273
1.3001625471769125,-3.1617343679374788,2.2758422500072273
1.271750013398557,-3.1281166102462845,2.267733364933643
1.2440953663035441,-3.0945706598998353,2.251243351311003
1.2176903067293503,-3.061143103983411,2.2258256555020983
1.1930064291824738,-3.027878624571592,2.1906612154212333
1.1704876337062897,-2.9948192797769524,2.14467829031632
1.1505429833631806,-2.9620038270192883,2.086617000971885
1.1335401222567383,-2.929467099404221,2.0151821001672365
1.11979936000051,-2.897239445245491,1.9293414377186
1.109588517816416,-2.8653462397492273,1.8288144753312876
1.10311861919103,-2.8338074767173835,1.7147094762749786
1.1005404944286876,-2.80263744683998,1.5900799998604866
1.1019423537354278,-2.7718445077525486,1.4599798226926015
1.107348367883757,-2.741430949558654,1.3306853876969926
1.1167182792958714,-2.711392957981266,1.2082849348324405
1.1299480498031538,-2.6817206757359044,1.097370627558143
1.1468715346592526,-2.6523983611380384,1.0004769796631923
1.1672631558712439,-2.623404641392685,0.9183035908532343
1.1908415318339822,-2.594712856490675,0.8503259492031395
1.2172740048654562,-2.5662914881781864,0.7954080651509896
1.2461819937934218,-2.538104667097243,0.7522422703441971
1.2771470854681777,-2.5101127499371145,0.7196057574210453
1.3097177671867772,-2.4822729573100224,0.6964862549842319
1.3434166917014314,-2.4545400620875095,0.6821320149325653
1.37774835791542,-2.426867117121858,0.6760652097373979
1.4122070836812195,-2.3992062106432805,0.6780818212717681
1.446285142415555,-2.3715092371782225,0.6882497877811581
1.4794809326101879,-2.3437286715844445,0.7069097347639366
1.5113070487879474,-2.31581833374835,0.7346768956021432
1.541298124039318,-2.2877341316403004,0.7724365338932985
1.5690183179502146,-2.2594347707718763,0.8213160386108961
1.5940683294373998,-2.2308824186396548,0.8826031077592186
1.616091821652385,-2.2020433134643524,0.9575621762521935
1.6347811555747134,-2.172888307430491,1.0470908989718097
1.6498823400389606,-2.143393335685662,1.1511849257588227
1.6611991185476656,-2.113539803553005,1.268290309080059
1.6685961271118397,-2.0833148857265273,1.3948290324129071
1.6720010723082226,-2.05271173263507,1.5253352283968513
1.6714058945075245,-2.021729580654477,1.6534365410381584
1.6668668975568781,-1.990373764394593,1.773318224308334
1.6585038428298617,-1.9586556308633916,1.8808848312828874
1.6464980222211674,-1.9265923568893735,1.9741046882131914
1.63108934109215,-1.8942066727399607,2.0526466792701683
1.6125724581037586,-1.8615264963829916,2.1172402034159363
1.5912920440483789,-1.8285844842761603,2.169097624670386
1.5676372359677597,-1.7954175059123938,2.209523291473599
1.5420353757923417,-1.7620660505759047,2.2396953634758257
1.5149451342496312,-1.728573575854456,2.2605637079817695
1.4868491306804879,-1.6949858083905012,2.272812031010118
1.458246167513274,-1.661350008122393,2.276849495815167
