timestamp,velocity_mps,steering_angle_rad,steering_angle_deg
1772318521.3739874,0.0,0.0,0.0
1772318521.6827087,0.0,0.0,0.0
1772318521.9557464,0.0,0.0,0.0
1772318521.9929774,0.0,0.0,0.0
1772318522.0570242,0.0,0.0,0.0
1772318522.1117504,0.0,0.0,0.0
1772318522.1965318,0.0,0.0,0.0
1772318522.2453523,0.0,0.0,0.0
1772318522.2975738,0.0,0.0,0.0
1772318522.3143764,0.0,0.0,0.0
1772318522.3364384,0.0,0.0,0.0
1772318522.370549,0.0,0.0,0.0
1772318522.3947144,0.0,0.0,0.0
1772318522.454221,0.0,0.0,0.0
1772318522.494256,0.0,0.0,0.0
1772318522.5247893,0.0,0.0,0.0
1772318522.584446,0.0,0.0,0.0
1772318522.620715,0.0,0.0,0.0
1772318522.6524248,0.0,0.0,0.0
1772318522.6756704,0.0,0.0,0.0
1772318522.696161,0.0,0.0,0.0
1772318522.7140617,0.0,0.0,0.0
1772318522.730442,0.0,0.0,0.0
1772318522.7439692,0.0,0.0,0.0
1772318522.7611868,0.0,0.0,0.0
1772318522.784357,0.0,0.0,0.0
1772318522.797989,0.0,0.0,0.0
1772318522.811878,0.0,0.0,0.0
1772318522.836233,0.0,0.0,0.0
1772318522.8966753,0.0,0.0,0.0
1772318522.9652455,0.0,0.0,0.0
1772318523.0357616,0.0,0.0,0.0
1772318523.0629857,0.0,0.0,0.0
1772318523.1218185,0.0,0.0,0.0
1772318523.1612613,0.0,0.0,0.0
1772318523.2195652,0.0,0.0,0.0
1772318523.243807,0.0,0.0,0.0
1772318523.326138,0.0,0.0,0.0
1772318523.356687,0.0,0.0,0.0
1772318523.391236,0.0,0.0,0.0
1772318523.4115138,0.0,0.0,0.0
1772318523.4694002,0.0,0.0,0.0
1772318523.5177257,0.0,0.0,0.0
1772318523.5481586,0.0,0.0,0.0
1772318523.5858653,0.0,0.0,0.0
1772318523.6136012,0.0,0.0,0.0
1772318523.6443734,0.0,0.0,0.0
1772318523.6685536,0.0,0.0,0.0
1772318523.705374,0.0,0.0,0.0
1772318523.739774,0.0,0.0,0.0
1772318523.7629552,0.0,0.0,0.0
1772318523.816426,0.0,0.0,0.0
1772318523.8460803,0.0,0.0,0.0
1772318523.8635697,0.0,0.0,0.0
1772318523.8978317,0.0,0.0,0.0
1772318523.9320147,0.0,0.0,0.0
1772318523.956318,0.0,0.0,0.0
1772318523.99247,0.0,0.0,0.0
1772318524.0408661,0.0,0.0,0.0
1772318524.0666077,0.0,0.0,0.0
1772318524.141934,0.0,0.0,0.0
