timestamp,tag_id,x,y,z,quality
1772318521.6827087,0,1.687,-4.64,0.364,52
1772318521.9557464,0,1.69,-4.65,0.354,51
1772318521.9557464,1,1.434,-4.547,0.859,60
1772318521.9929774,0,1.678,-4.663,0.36,50
1772318521.9929774,1,1.434,-4.547,0.859,60
1772318522.0570242,0,1.678,-4.663,0.36,50
1772318522.0570242,1,1.431,-4.559,0.891,60
1772318522.1117504,0,1.67,-4.651,0.381,53
1772318522.1117504,1,1.493,-4.566,0.918,65
1772318522.1965318,0,1.671,-4.647,0.385,52
1772318522.1965318,1,1.484,-4.569,0.929,60
1772318522.2453523,0,1.671,-4.647,0.385,52
1772318522.2453523,1,1.484,-4.569,0.929,60
1772318522.2975738,0,1.675,-4.643,0.374,51
1772318522.2975738,1,1.472,-4.564,0.909,59
1772318522.3143764,0,1.675,-4.643,0.374,51
1772318522.3143764,1,1.472,-4.564,0.909,59
1772318522.3364384,0,1.675,-4.643,0.374,51
1772318522.3364384,1,1.472,-4.564,0.909,59
1772318522.370549,0,1.675,-4.643,0.374,51
1772318522.370549,1,1.472,-4.564,0.909,59
1772318522.3947144,0,1.682,-4.649,0.354,50
1772318522.3947144,1,1.472,-4.564,0.909,59
1772318522.454221,0,1.682,-4.649,0.354,50
1772318522.454221,1,1.444,-4.567,0.897,57
1772318522.494256,0,1.683,-4.647,0.345,50
1772318522.494256,1,1.412,-4.501,0.945,64
1772318522.5247893,0,1.683,-4.647,0.345,50
1772318522.5247893,1,1.412,-4.501,0.945,64
1772318522.584446,0,1.694,-4.644,0.355,52
1772318522.584446,1,1.412,-4.501,0.945,64
1772318522.620715,0,1.694,-4.644,0.355,52
1772318522.620715,1,1.422,-4.512,0.924,59
1772318522.6524248,0,1.694,-4.644,0.355,52
1772318522.6524248,1,1.422,-4.512,0.924,59
1772318522.6756704,0,1.678,-4.641,0.362,51
1772318522.6756704,1,1.429,-4.535,0.896,57
1772318522.696161,0,1.678,-4.641,0.362,51
1772318522.696161,1,1.429,-4.535,0.896,57
