x,y,yaw
4.755591872902753,3.722108874579566,1.6706585081621566
4.7552117855704505,3.7259023329073533,1.6747526474233845
4.754831096197439,3.729551144468351,1.6790097137799072
4.754450064060713,3.73305850776266,1.6834379381104867
4.754068948437287,3.736427621290394,1.688045948801357
4.753688008604157,3.7396616835516547,1.6928427711489193
4.753307503838333,3.7427638930465528,1.6978378204135662
4.752927693416822,3.7457374482751975,1.7030408865645192
4.752548836616624,3.7485855477376937,1.7084621083948845
4.752171192714746,3.751311389934149,1.714111934125936
4.751795020988192,3.7539181733646716,1.7200010649088084
4.751420580713965,3.7564090965293673,1.72614037687535
4.751048131169076,3.7587873579283477,1.7325408164186686
4.750677931630524,3.7610561560617173,1.7392132621819016
4.750310241375314,3.7632186894295825,1.7461683459698234
4.749945319680455,3.765278156532054,1.7534162231301644
4.749583425822948,3.7672377558692385,1.760966281132415
4.7492248190798,3.769100685941243,1.768826773041765
4.7488697587280155,3.7708701452481743,1.7770043602003627
4.748518504044596,3.77254933229014,1.7855035459962982
4.74817131430655,3.7741414455672486,1.7943259800335711
4.747828448790883,3.775649683579608,1.80346960953936
4.747490166774595,3.7770772448273235,1.8129276528067382
4.747156727534697,3.778427327810505,1.8226873683143072
4.74682839034819,3.77970313102926,1.8327285932598703
4.74650541449208,3.7809078529836944,1.8430220279993887
4.746188059243371,3.7820446921739173,1.8535272488548336
4.745876583879068,3.7831168471000343,1.8641904429281702
4.745571247676175,3.7841275162621537,1.874941876604888
4.745272309911698,3.785079898160384,1.8856931364935074
4.744980029862641,3.785977191294832,1.896334220049895
4.74469466680601,3.7868225941656064,1.9067306052847366
4.74441648001881,3.787619305272812,1.9167204961794284
4.7441457287780455,3.78837052311656,1.9261125233206675
4.74388267236072,3.7890794461969555,1.934684275286059
4.743627570043839,3.7897492730141056,1.9421821401587314
4.743380681104407,3.7903832020681194,1.9483230365445774
4.743142264819431,3.790984431859103,1.952798691565806
4.742912580465912,3.7915561608871653,1.9552831514668967
4.742691887320858,3.792101587652413,1.9554441504793842
4.742480444661273,3.7926239106549535,1.952958765849134
4.742278511764161,3.7931263283948957,1.9475333974613571
4.742086347906528,3.7936120393723463,1.938927481928065
4.741904212365376,3.7940842420874112,1.9269794735684393
4.741732364417714,3.7945461350402008,1.9116325681649655
4.741571063340544,3.7950009167308205,1.892956607572728
4.741420568410871,3.7954517856593784,1.8711619344109947
4.741281138905701,3.795901940325982,1.8466011070645705
4.741153034102038,3.7963545792307403,1.8197556992986097
4.741036513276887,3.796812900873759,1.7912079189305217
4.740931835707253,3.797280103755145,1.761599972283001
4.74083926067014,3.7977593863750085,1.731586983774067
4.7407590474425545,3.7982539472334547,1.7017907832873684
4.7406914553015005,3.7987669848305927,1.672761403679194
4.7406367435239805,3.799301697666529,1.6449509089894765
4.740595171387002,3.799861284241371,1.618701104532696
4.74056699816757,3.8004489430552275,1.5942438494752142
4.740552483142688,3.801067872608204,1.5717108573501362
4.740551885589361,3.80172127140041,1.551149234450821
4.740565464784594,3.802412337931952,1.5325393271066245
4.740593480005393,3.803144270702939,1.515812293125982
4.740636190528761,3.8039202682134765,1.5008657820094922
4.7406938556317035,3.804743528963673,1.4875769494660493
4.740766734591226,3.805617251453636,1.4758126387813557
4.740855086684331,3.806544634183472,1.465436932771904
4.740959171188026,3.80752887565329,1.4563164630767012
4.741079247379314,3.8085731743631976,1.4483239186248857
4.741215574535201,3.8096807288133014,1.4413401754128397
4.741368411932692,3.8108547375037083,1.4352554133120377
4.74153801884879,3.812098398934528,1.4299695173879228
4.741724654560501,3.813414911605866,1.4253919948689262
4.741928578344832,3.814807474017832,1.421441580887681
4.742150049478784,3.8162792846705313,1.4180456586973662
4.742389327239363,3.817833542064072,1.4151395830216615
4.742646670903574,3.8194734446985623,1.4126659670954929
4.742922339748422,3.8212021910741094,1.410573973343636
4.743216593050914,3.8230229796908213,1.4088186328153414
4.74352969008805,3.824939009048804,1.407360208032118
4.743861890136839,3.826953477648167,1.406163606783094
4.744213452474284,3.8290695839890168,1.4051978495691744
4.74458463637739,3.8312905265714607,1.4044355903207257
4.7449757011231615,3.8336195038956067,1.4038526881012472
4.745386905988604,3.8360597144615625,1.4034278263937179
4.745818510250721,3.838614356769434,1.4031421760432432
4.746270773186519,3.841286629319331,1.4029790977467596
4.746743954073003,3.8440797306113614,1.402923880012601
4.747238312187177,3.8469968591456305,1.4029635087398258
4.747754106806045,3.8500412134222466,1.4030864648112054
4.748291597206611,3.8532159919413167,1.40328254641114
4.748851042665884,3.8565243932029505,1.4035427131165776
4.749432702460865,3.859969615707253,1.40385894908029
4.750036835868561,3.863554857954334,1.4042241429802134
4.7506637021659746,3.867283318444299,1.4046319826266962
4.751313560630111,3.8711581956772556,1.405076862408759
4.751986670537977,3.8751826881533127,1.4055538019676528
4.752683291166576,3.8793599943725776,1.4060583746851927
4.753403681792913,3.883693312835157,1.4065866447608215
4.7541481016939935,3.8881858420411595,1.4071351118032385
4.75491681014682,3.8928407804906913,1.407700661993403
4.755710066428401,3.8976613266838616,1.407700661993403
