timestamp,tag_id,x,y,z,quality
1774889304.5763812,1,1.788,5.0,0.695,51
1774889304.7783773,1,1.784,4.992,0.696,50
1774889304.7783773,0,2.057,4.807,0.595,51
1774889304.9437602,1,1.781,4.997,0.702,51
1774889304.9437602,0,2.056,4.811,0.595,48
1774889304.9577508,1,1.781,4.997,0.702,51
1774889304.9577508,0,2.056,4.811,0.595,48
1774889304.9982462,1,1.776,4.896,0.75,56
1774889304.9982462,0,2.058,4.809,0.6,50
1774889305.0226965,1,1.776,4.896,0.75,56
1774889305.0226965,0,2.058,4.809,0.6,50
1774889305.056192,1,1.776,4.896,0.75,56
1774889305.056192,0,2.058,4.809,0.6,50
1774889305.3348265,1,1.778,4.971,0.756,54
1774889305.3348265,0,2.058,4.8,0.606,63
1774889305.3545995,1,1.778,4.971,0.756,54
1774889305.3545995,0,2.058,4.8,0.606,63
1774889305.376898,1,1.785,4.975,0.742,51
1774889305.376898,0,2.045,4.809,0.603,49
1774889305.6304789,1,1.776,4.983,0.742,51
1774889305.6304789,0,2.055,4.795,0.622,51
1774889305.664365,1,1.776,4.983,0.742,51
1774889305.664365,0,2.055,4.795,0.622,51
1774889305.6837077,1,1.777,4.987,0.745,52
1774889305.6837077,0,2.051,4.799,0.609,48
1774889305.7197995,1,1.777,4.987,0.745,52
1774889305.7197995,0,2.051,4.799,0.609,48
1774889305.9354796,1,1.782,4.993,0.751,53
1774889305.9354796,0,2.057,4.808,0.631,52
1774889306.006363,1,1.781,4.997,0.759,54
1774889306.006363,0,2.046,4.808,0.617,47
1774889306.4698853,1,1.789,5.001,0.743,51
1774889306.4698853,0,2.051,4.814,0.59,47
1774889306.517894,1,1.789,5.003,0.727,50
1774889306.517894,0,2.051,4.803,0.593,49
1774889306.7709033,1,1.778,4.993,0.714,50
1774889306.7709033,0,2.049,4.801,0.605,51
1774889306.8451047,1,1.783,4.988,0.703,49
1774889306.8451047,0,2.046,4.817,0.607,50
1774889307.1202717,1,1.786,4.991,0.694,50
1774889307.1202717,0,2.048,4.809,0.616,51
1774889307.153457,1,1.786,4.991,0.694,50
1774889307.153457,0,2.048,4.809,0.616,51
1774889307.1879046,1,1.784,4.985,0.693,50
1774889307.1879046,0,2.048,4.809,0.616,51
1774889307.4459982,1,1.784,4.995,0.688,50
1774889307.4459982,0,2.047,4.809,0.614,51
1774889307.4620693,1,1.784,4.995,0.688,50
1774889307.4620693,0,2.047,4.809,0.614,51
